"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Burwood",2018,"Assault","Domestic violence related assault",60,"Drug offences",122,12,48,19880,21381
"Burwood",2019,"Assault","Domestic violence related assault",60,"Drug offences",174,13,47,20674,21579
"Burwood",2020,"Assault","Domestic violence related assault",47,"Drug offences",95,13,56,20708,21995
"Byron",2016,"Assault","Domestic violence related assault",97,"Drug offences",528,52,45,14883,18325
"Byron",2017,"Assault","Domestic violence related assault",112,"Drug offences",488,50,62,15042,18658
"Byron",2018,"Assault","Domestic violence related assault",108,"Drug offences",783,54,54,15575,18650
"Byron",2019,"Assault","Domestic violence related assault",112,"Drug offences",933,60,52,16152,18589
"Byron",2020,"Assault","Domestic violence related assault",76,"Drug offences",280,45,60,16017,19433
"Cabonne",2016,"Assault","Domestic violence related assault",29,"Drug offences",9,11,18,5254,8144
"Cabonne",2017,"Assault","Domestic violence related assault",24,"Drug offences",9,12,12,5217,8299
"Cabonne",2018,"Assault","Domestic violence related assault",44,"Drug offences",10,14,30,5344,8269
"Cabonne",2019,"Assault","Domestic violence related assault",35,"Drug offences",9,10,25,5492,8198
"Cabonne",2020,"Assault","Domestic violence related assault",18,"Drug offences",17,10,20,5462,8264
"Camden",2016,"Assault","Domestic violence related assault",223,"Drug offences",383,68,155,29296,50811
"Camden",2017,"Assault","Domestic violence related assault",308,"Drug offences",397,78,230,29799,56868
"Camden",2018,"Assault","Domestic violence related assault",357,"Drug offences",279,102,255,30720,62916
"Camden",2019,"Assault","Domestic violence related assault",388,"Drug offences",379,98,291,31818,69321
"Camden",2020,"Assault","Domestic violence related assault",254,"Drug offences",214,84,252,31639,75989
"Campbelltown",2016,"Assault","Domestic violence related assault",933,"Drug offences",751,200,732,56796,105491
"Campbelltown",2017,"Assault","Domestic violence related assault",804,"Drug offences",736,199,606,57123,108323
"Campbelltown",2018,"Assault","Domestic violence related assault",931,"Drug offences",661,234,697,58772,109909
"Campbelltown",2019,"Assault","Domestic violence related assault",894,"Drug offences",753,213,681,60573,111083
"Campbelltown",2020,"Assault","Domestic violence related assault",696,"Drug offences",540,230,752,60099,114762
"Canada Bay",2016,"Assault","Domestic violence related assault",108,"Drug offences",132,35,73,39491,53040
"Canada Bay",2017,"Assault","Domestic violence related assault",112,"Drug offences",125,34,78,39747,54408
"Canada Bay",2018,"Assault","Domestic violence related assault",100,"Drug offences",161,33,69,40990,54070
"Canada Bay",2019,"Assault","Domestic violence related assault",114,"Drug offences",170,25,86,42379,53732
"Canada Bay",2020,"Assault","Domestic violence related assault",95,"Drug offences",145,37,84,42177,54520
"Canterbury-Bankstown",2016,"Assault","Domestic violence related assault",1344,"Drug offences",1365,200,1144,112088,249944
"Canterbury-Bankstown",2017,"Assault","Domestic violence related assault",1261,"Drug offences",1419,238,1021,112883,255766
"Canterbury-Bankstown",2018,"Assault","Domestic violence related assault",1132,"Drug offences",1502,183,950,116053,257554
"Canterbury-Bankstown",2019,"Assault","Domestic violence related assault",1209,"Drug offences",1376,205,1008,119527,258344
"Canterbury-Bankstown",2020,"Assault","Domestic violence related assault",954,"Drug offences",1249,174,1184,118414,262120
"Carrathool",2016,"Assault","Domestic violence related assault",9,"Drug offences",8,6,3,1569,1355
"Carrathool",2017,"Assault","Domestic violence related assault",10,"Drug offences",7,5,5,1557,1372
"Carrathool",2018,"Assault","Domestic violence related assault",9,"Drug offences",8,6,3,1601,1329
"Carrathool",2019,"Assault","Domestic violence related assault",12,"Drug offences",13,3,9,1660,1269
"Carrathool",2020,"Assault","Domestic violence related assault",12,"Drug offences",8,10,11,1669,1256
"Central Coast",2016,"Assault","Domestic violence related assault",1759,"Drug offences",1187,613,1146,123819,212791
"Central Coast",2017,"Assault","Domestic violence related assault",1647,"Drug offences",1181,610,1037,124889,214552
"Central Coast",2018,"Assault","Domestic violence related assault",1669,"Drug offences",1303,633,1036,129007,212733
"Central Coast",2019,"Assault","Domestic violence related assault",1631,"Drug offences",1252,581,1050,133459,210510
"Central Coast",2020,"Assault","Domestic violence related assault",1071,"Drug offences",990,495,1002,132575,213281
"Central Darling",2016,"Assault","Domestic violence related assault",87,"Drug offences",14,80,7,1155,1423
"Central Darling",2017,"Assault","Domestic violence related assault",87,"Drug offences",10,67,19,1128,1387
"Central Darling",2018,"Assault","Domestic violence related assault",89,"Drug offences",6,64,25,1139,1353
"Central Darling",2019,"Assault","Domestic violence related assault",99,"Drug offences",14,81,18,1159,1289
"Central Darling",2020,"Assault","Domestic violence related assault",63,"Drug offences",16,53,32,1142,1244
"Cessnock",2016,"Assault","Domestic violence related assault",358,"Drug offences",274,106,252,17599,39291
"Cessnock",2017,"Assault","Domestic violence related assault",357,"Drug offences",299,108,250,17633,40159
"Cessnock",2018,"Assault","Domestic violence related assault",308,"Drug offences",350,71,237,18163,41134
"Cessnock",2019,"Assault","Domestic violence related assault",297,"Drug offences",356,75,222,18740,41518
"Cessnock",2020,"Assault","Domestic violence related assault",181,"Drug offences",212,83,179,18499,43057
"Clarence Valley",2016,"Assault","Domestic violence related assault",222,"Drug offences",333,103,119,19214,32407
"Clarence Valley",2017,"Assault","Domestic violence related assault",228,"Drug offences",285,80,148,19281,32389
"Clarence Valley",2018,"Assault","Domestic violence related assault",214,"Drug offences",283,88,126,19853,31852
"Clarence Valley",2019,"Assault","Domestic violence related assault",183,"Drug offences",220,65,118,20491,31260
"Clarence Valley",2020,"Assault","Domestic violence related assault",139,"Drug offences",198,85,133,20317,31498
"Cobar",2016,"Assault","Domestic violence related assault",42,"Drug offences",16,11,23,2789,1993
"Cobar",2017,"Assault","Domestic violence related assault",33,"Drug offences",21,8,15,2719,2034
"Cobar",2018,"Assault","Domestic violence related assault",45,"Drug offences",14,14,24,2720,2008
"Cobar",2019,"Assault","Domestic violence related assault",36,"Drug offences",24,12,16,2723,1948
"Cobar",2020,"Assault","Domestic violence related assault",17,"Drug offences",29,10,10,2632,1887
"Coffs Harbour",2016,"Assault","Domestic violence related assault",511,"Drug offences",459,213,298,33737,40285
"Coffs Harbour",2017,"Assault","Domestic violence related assault",475,"Drug offences",437,179,296,34039,40826
"Coffs Harbour",2018,"Assault","Domestic violence related assault",476,"Drug offences",489,181,295,35176,40589
"Coffs Harbour",2019,"Assault","Domestic violence related assault",442,"Drug offences",473,211,231,36431,40143
"Coffs Harbour",2020,"Assault","Domestic violence related assault",383,"Drug offences",395,210,319,36227,40790
"Coolamon",2016,"Assault","Domestic violence related assault",12,"Drug offences",15,8,4,1271,3118
"Coolamon",2017,"Assault","Domestic violence related assault",15,"Drug offences",10,11,4,1268,3140
"Coolamon",2018,"Assault","Domestic violence related assault",11,"Drug offences",11,6,5,1299,3129
"Coolamon",2019,"Assault","Domestic violence related assault",10,"Drug offences",8,5,5,1338,3113
"Coolamon",2020,"Assault","Domestic violence related assault",6,"Drug offences",0,4,6,1331,3142
"Coonamble",2016,"Assault","Domestic violence related assault",48,"Drug offences",65,17,31,1691,2553
"Coonamble",2017,"Assault","Domestic violence related assault",53,"Drug offences",32,24,29,1663,2554
"Coonamble",2018,"Assault","Domestic violence related assault",66,"Drug offences",49,20,46,1684,2483
"Coonamble",2019,"Assault","Domestic violence related assault",119,"Drug offences",59,38,81,1716,2401
"Coonamble",2020,"Assault","Domestic violence related assault",81,"Drug offences",49,32,66,1694,2374
"Cootamundra-Gundagai",2016,"Assault","Domestic violence related assault",48,"Drug offences",62,19,29,4930,6383
"Cootamundra-Gundagai",2017,"Assault","Domestic violence related assault",56,"Drug offences",40,18,38,4899,6400
"Cootamundra-Gundagai",2018,"Assault","Domestic violence related assault",66,"Drug offences",77,26,40,5030,6277
"Cootamundra-Gundagai",2019,"Assault","Domestic violence related assault",53,"Drug offences",59,13,40,5180,6112
"Cootamundra-Gundagai",2020,"Assault","Domestic violence related assault",50,"Drug offences",33,23,41,5125,6161
"Cowra",2016,"Assault","Domestic violence related assault",72,"Drug offences",36,30,42,5402,7276
"Cowra",2017,"Assault","Domestic violence related assault",63,"Drug offences",16,30,34,5402,7292
"Cowra",2018,"Assault","Domestic violence related assault",56,"Drug offences",24,16,40,5550,7162
"Cowra",2019,"Assault","Domestic violence related assault",61,"Drug offences",26,29,33,5724,6968
"Cowra",2020,"Assault","Domestic violence related assault",49,"Drug offences",54,25,59,5689,7008
"Cumberland",2016,"Assault","Domestic violence related assault",864,"Drug offences",1174,139,725,83614,140368
"Cumberland",2017,"Assault","Domestic violence related assault",834,"Drug offences",1216,129,708,84044,145599
