"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Wagga Wagga",2017,"Assault","Domestic violence related assault",376,"Drug offences",305,122,254,1707,5003
"Wagga Wagga",2018,"Assault","Domestic violence related assault",409,"Drug offences",323,141,268,1744,4929
"Wagga Wagga",2019,"Assault","Domestic violence related assault",515,"Drug offences",448,159,356,1791,4874
"Wagga Wagga",2020,"Assault","Domestic violence related assault",350,"Drug offences",332,147,311,1780,4846
"Walcha",2016,"Assault","Domestic violence related assault",9,"Drug offences",13,1,8,36086,27871
"Walcha",2017,"Assault","Domestic violence related assault",9,"Drug offences",10,3,6,36317,28062
"Walcha",2018,"Assault","Domestic violence related assault",12,"Drug offences",14,9,3,37495,27296
"Walcha",2019,"Assault","Domestic violence related assault",9,"Drug offences",18,2,7,38827,26402
"Walcha",2020,"Assault","Domestic violence related assault",7,"Drug offences",11,2,13,38745,26879
"Walgett",2016,"Assault","Domestic violence related assault",116,"Drug offences",51,68,48,1679,1588
"Walgett",2017,"Assault","Domestic violence related assault",148,"Drug offences",58,90,58,1656,1600
"Walgett",2018,"Assault","Domestic violence related assault",147,"Drug offences",64,84,63,1686,1541
"Walgett",2019,"Assault","Domestic violence related assault",150,"Drug offences",59,62,88,1729,1502
"Walgett",2020,"Assault","Domestic violence related assault",99,"Drug offences",68,66,78,1717,1478
"Warren",2016,"Assault","Domestic violence related assault",37,"Drug offences",16,13,24,2382,4246
"Warren",2017,"Assault","Domestic violence related assault",24,"Drug offences",10,16,8,2343,4166
"Warren",2018,"Assault","Domestic violence related assault",43,"Drug offences",6,18,25,2375,4003
"Warren",2019,"Assault","Domestic violence related assault",40,"Drug offences",16,12,28,2422,3854
"Warren",2020,"Assault","Domestic violence related assault",34,"Drug offences",8,12,27,2383,3761
"Warrumbungle Shire",2016,"Assault","Domestic violence related assault",49,"Drug offences",65,13,36,1118,1224
"Warrumbungle Shire",2017,"Assault","Domestic violence related assault",50,"Drug offences",73,21,29,1095,1215
"Warrumbungle Shire",2018,"Assault","Domestic violence related assault",52,"Drug offences",107,23,29,1106,1171
"Warrumbungle Shire",2019,"Assault","Domestic violence related assault",46,"Drug offences",101,21,25,1124,1116
"Warrumbungle Shire",2020,"Assault","Domestic violence related assault",25,"Drug offences",27,8,25,1107,1089
"Waverley",2016,"Assault","Domestic violence related assault",170,"Drug offences",604,70,100,3383,5955
"Waverley",2017,"Assault","Domestic violence related assault",156,"Drug offences",662,57,99,3378,5901
"Waverley",2018,"Assault","Domestic violence related assault",156,"Drug offences",605,71,85,3476,5743
"Waverley",2019,"Assault","Domestic violence related assault",196,"Drug offences",607,70,125,3597,5561
"Waverley",2020,"Assault","Domestic violence related assault",125,"Drug offences",403,64,107,3594,5508
"Weddin",2016,"Assault","Domestic violence related assault",9,"Drug offences",5,4,5,28161,43851
"Weddin",2017,"Assault","Domestic violence related assault",13,"Drug offences",2,3,9,28503,44882
"Weddin",2018,"Assault","Domestic violence related assault",4,"Drug offences",3,1,3,29514,44525
"Weddin",2019,"Assault","Domestic violence related assault",10,"Drug offences",2,4,6,30626,43595
"Weddin",2020,"Assault","Domestic violence related assault",10,"Drug offences",5,8,6,30437,43838
"Wentworth",2016,"Assault","Domestic violence related assault",58,"Drug offences",54,39,19,1420,2244
"Wentworth",2017,"Assault","Domestic violence related assault",60,"Drug offences",51,34,26,1413,2236
"Wentworth",2018,"Assault","Domestic violence related assault",72,"Drug offences",42,43,29,1449,2179
"Wentworth",2019,"Assault","Domestic violence related assault",72,"Drug offences",29,30,42,1498,2107
"Wentworth",2020,"Assault","Domestic violence related assault",55,"Drug offences",36,32,35,1501,2086
"Willoughby",2016,"Assault","Domestic violence related assault",73,"Drug offences",137,19,54,3164,3765
"Willoughby",2017,"Assault","Domestic violence related assault",77,"Drug offences",160,20,57,3138,3812
"Willoughby",2018,"Assault","Domestic violence related assault",121,"Drug offences",155,32,89,3215,3767
"Willoughby",2019,"Assault","Domestic violence related assault",97,"Drug offences",132,30,67,3309,3693
"Willoughby",2020,"Assault","Domestic violence related assault",72,"Drug offences",131,23,72,3285,3745
"Wingecarribee",2016,"Assault","Domestic violence related assault",125,"Drug offences",115,48,77,71388,7404
"Wingecarribee",2017,"Assault","Domestic violence related assault",103,"Drug offences",127,35,68,72225,7918
"Wingecarribee",2018,"Assault","Domestic violence related assault",94,"Drug offences",118,37,57,74564,6107
"Wingecarribee",2019,"Assault","Domestic violence related assault",101,"Drug offences",149,39,61,77057,4382
"Wingecarribee",2020,"Assault","Domestic violence related assault",82,"Drug offences",147,47,62,76787,4734
"Wollondilly",2016,"Assault","Domestic violence related assault",185,"Drug offences",102,61,124,21219,27767
"Wollondilly",2017,"Assault","Domestic violence related assault",167,"Drug offences",123,56,111,21542,28123
"Wollondilly",2018,"Assault","Domestic violence related assault",189,"Drug offences",127,71,118,22352,28055
"Wollondilly",2019,"Assault","Domestic violence related assault",165,"Drug offences",151,58,107,23228,27842
"Wollondilly",2020,"Assault","Domestic violence related assault",139,"Drug offences",63,40,141,23160,28536
"Wollongong",2016,"Assault","Domestic violence related assault",792,"Drug offences",896,249,543,13530,36381
"Wollongong",2017,"Assault","Domestic violence related assault",655,"Drug offences",989,214,441,13582,37469
"Wollongong",2018,"Assault","Domestic violence related assault",667,"Drug offences",871,223,444,13910,38235
"Wollongong",2019,"Assault","Domestic violence related assault",689,"Drug offences",916,211,478,14282,38783
"Wollongong",2020,"Assault","Domestic violence related assault",494,"Drug offences",817,202,461,14137,39772
"Woollahra",2016,"Assault","Domestic violence related assault",89,"Drug offences",219,38,51,93501,116922
"Woollahra",2017,"Assault","Domestic violence related assault",94,"Drug offences",207,46,48,94968,118442
"Woollahra",2018,"Assault","Domestic violence related assault",93,"Drug offences",326,34,59,98224,117654
"Woollahra",2019,"Assault","Domestic violence related assault",96,"Drug offences",220,37,59,101789,116313
"Woollahra",2020,"Assault","Domestic violence related assault",56,"Drug offences",95,38,44,101435,118384
"Yass Valley",2016,"Assault","Domestic violence related assault",34,"Drug offences",135,12,20,22691,35041
"Yass Valley",2017,"Assault","Domestic violence related assault",26,"Drug offences",152,8,18,22989,35388
"Yass Valley",2018,"Assault","Domestic violence related assault",34,"Drug offences",132,8,26,23817,34845
"Yass Valley",2019,"Assault","Domestic violence related assault",29,"Drug offences",66,7,22,24732,34238
"Yass Valley",2020,"Assault","Domestic violence related assault",17,"Drug offences",33,6,23,24620,34439
