"Total_DMV_Offences","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed"
254,380,111,142,80616
246,350,95,151,81424
272,356,106,165,84013
314,378,109,206,86859
214,352,118,199,86335
354,320,109,245,32646
314,288,111,203,32884
350,274,122,228,33909
379,309,157,222,35047
247,355,127,230,34813
161,204,58,105,31052
132,131,27,106,31606
135,147,37,98,32689
146,145,40,106,33902
137,195,52,139,33794
371,573,148,223,17562
354,949,125,229,17776
363,899,119,244,18359
420,904,135,286,19021
276,511,127,265,18990
131,144,46,83,52741
149,187,64,85,53462
124,218,58,66,55491
145,163,60,85,57723
96,147,48,104,57588
207,151,41,166,8281
206,142,54,152,8198
258,178,34,224,8386
296,200,63,233,8603
247,184,80,239,8498
234,349,68,166,101401
238,218,69,169,102010
200,245,57,143,104752
238,214,59,179,107578
197,213,85,178,106664
393,398,145,248,20519
338,517,137,201,20759
430,506,152,278,21507
390,509,131,259,22317
344,343,161,303,22251
84,74,20,64,39492
110,94,23,87,39960
96,136,39,57,41415
89,137,30,59,43025
59,108,33,63,42923
54,110,29,26,19734
59,117,27,32,19493
48,82,24,24,19749
86,104,31,55,20006
48,73,27,36,19574
87,66,29,58,11650
66,42,21,42,11662
66,45,20,46,11991
74,97,21,53,12370
58,81,28,51,12078
108,79,22,86,7165
131,63,34,97,7109
140,81,30,111,7262
141,90,41,100,7449
107,76,21,114,7372
486,717,186,299,25852
482,778,181,301,25922
458,759,171,287,26598
689,906,205,483,27355
466,747,213.05,420,27079
865.499999999999,989.05,213.05,562,78560
865.499999999999,989.05,213.05,573,79465
865.499999999999,989.05,213.05,592,82179
865.499999999999,989.05,213.05,651,85098
797,989.05,213.05,681,84641
336,197,118,218,108454.55
345,188,136,209,108454.55
377,209,136,240,108454.55
411,189,149,262,108454.55
296,170,94,321,108454.55
14,17,9,5.95,29541
27,12,13,14,29640
13,20,5,8,30551
29,27,5,23,31570
18,11,13,12,31444
46,22,18,36,2717
39,27,14,27,2712
40,37,15,31,2786
46,33,21,34,2876
45,42,27,38,2860
207,252,39,168,2461
216,249,51,165,2449
217,302,48,169,2509
302,210,68,233,2583
258,160,66,265,2564
289,860,126,163,74662
291,777,118,173,75680
324,695,134,192,78215
335,527,144,194,81011
232,487,117,222,80764
10,7,4,5.95,32883
10,7,4,5.95,33238
10,7,4,5.95,34417
10,7,4,5.95,35710
10,7,4,5.95,35557
37,51,17,20,1177.35
27,24,13,14,1177.35
54,44,18,36,1177.35
43,57,16,27,1177.35
58,32,32,45,1177.35
19,7,7,13,5916
10,7,4,5.95,5907
10,11,4,5.95,6078
10,9,4,5.95,6284
10,7,4,5.95,6256
22,7,8,14,3301
21,9,7,14,3309
19,7,4,15,3420
16,9,6,10,3556
11,7,11,8,3571
399,391,110,289,1722
376,305,122,254,1707
409,323,141,268,1744
515,448,159,356,1791
350,332,147,311,1780
10,13,4,8,36086
10,10,4,6,36317
12,14,9,5.95,37495
10,18,4,7,38827
10,11,4,13,38745
116,51,68,48,1679
148,58,90,58,1656
147,64,84,63,1686
150,59,62,88,1729
99,68,66,78,1717
37,16,13,24,2382
24,10,16,8,2343
43,7,18,25,2375
40,16,12,28,2422
34,8,12,27,2383
49,65,13,36,1177.35
50,73,21,29,1177.35
52,107,23,29,1177.35
46,101,21,25,1177.35
25,27,8,25,1177.35
170,604,70,100,3383
156,662,57,99,3378
156,605,71,85,3476
196,607,70,125,3597
125,403,64,107,3594
10,7,4,5.95,28161
13,7,4,9,28503
10,7,4,5.95,29514
10,7,4,6,30626
10,7,8,6,30437
58,54,39,19,1420
60,51,34,26,1413
72,42,43,29,1449
72,29,30,42,1498
55,36,32,35,1501
73,137,19,54,3164
77,160,20,57,3138
121,155,32,89,3215
97,132,30,67,3309
72,131,23,72,3285
125,115,48,77,71388
103,127,35,68,72225
94,118,37,57,74564
101,149,39,61,77057
82,147,47,62,76787
185,102,61,124,21219
167,123,56,111,21542
189,127,71,118,22352
165,151,58,107,23228
139,63,40,141,23160
792,896,213.05,543,13530
655,989,213.05,441,13582
667,871,213.05,444,13910
689,916,211,478,14282
494,817,202,461,14137
89,219,38,51,93501
94,207,46,48,94968
93,326,34,59,98224
96,220,37,59,101789
56,95,38,44,101435
34,135,12,20,22691
26,152,8,18,22989
34,132,8,26,23817
29,66,7,22,24732
17,33,6,23,24620
